Id,workshop,sex,class,math,physics,informatics,experience,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14
1,1,1,9,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,1,1,10,5,5,5,1,5,5,3,4,5,4,5,5,5,5,5,5,5,5
3,1,1,9,3,5,5,1,5,5,5,5,5,5,5,5,5,3,3,5,5,5
4,1,1,9,2,4,5,0,5,4,4,4,4,4,5,5,3,2,3,4,3,5
5,1,1,9,5,4,5,0,3,2,3,4,5,2,2,3,4,5,3,5,3,5
6,1,1,9,5,5,5,1,4,4,5,5,4,3,4,4,5,4,4,3,4,4
7,1,1,10,4,5,5,0,4,4,4,4,5,3,5,5,5,5,5,5,5,4
8,1,2,10,5,5,5,0,5,5,4,4,4,3,4,3,3,2,4,5,4,3
9,1,2,10,5,5,5,0,5,4,5,5,5,4,5,4,5,4,5,5,5,5
10,1,1,10,5,5,5,0,5,5,4,4,5,3,4,4,3,4,4,4,4,4
11,1,1,9,3,4,5,0,5,4,4,4,5,3,5,5,5,2,5,4,5,4
12,1,1,10,5,5,5,0,5,4,4,5,4,5,4,5,5,3,5,4,5,4
13,1,1,9,3,5,5,0,5,4,4,4,5,3,4,5,5,1,5,4,5,3
14,1,1,10,5,5,5,0,5,5,4,4,4,4,4,4,4,4,4,4,4,4
15,1,2,9,4,4,5,1,5,5,5,4,5,4,5,4,4,4,5,5,5,5
16,1,2,9,5,4,5,1,4,3,4,5,3,4,4,3,3,3,3,4,3,4
17,1,2,9,4,5,5,5,4,5,5,5,3,5,5,4,5,3,4,5,4,4
18,1,1,10,3,4,5,0,4,4,3,3,3,3,3,4,4,3,4,5,4,3
19,1,2,9,5,5,5,0,4,3,4,4,5,4,5,3,5,3,5,3,5,4
20,1,2,9,3,4,5,1,3,4,4,3,2,5,4,4,4,4,4,4,4,3
21,1,1,9,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,4,4,5
22,1,1,10,5,5,5,0,5,5,5,5,5,4,5,4,5,3,5,5,5,5
23,1,1,9,3,4,5,0,5,5,5,5,5,5,4,2,2,5,5,5,5,5
24,1,2,9,4,4,5,0,5,5,4,4,5,5,5,5,5,4,4,5,5,5
25,1,1,9,5,5,5,0,5,4,4,4,5,4,5,4,4,4,5,5,5,5
26,1,1,9,5,5,5,0,4,3,3,3,3,5,3,2,2,1,1,5,5,3
27,1,2,0,2,2,3,0,5,5,5,5,5,5,3,4,4,4,5,5,5,5
28,1,2,10,4,4,5,1,5,5,5,5,5,5,5,5,4,4,5,5,5,5
29,1,1,10,4,5,5,0,5,5,5,5,5,4,5,4,4,4,4,5,5,4
30,1,2,10,4,4,5,5,5,5,5,4,4,5,5,5,5,3,4,4,5,5
31,1,1,10,4,4,5,1,5,5,4,4,5,4,4,5,4,4,4,5,5,5
32,1,1,10,5,5,5,0,5,5,4,4,5,5,4,5,5,4,5,5,5,4
33,1,1,10,4,4,5,0,4,4,4,4,4,5,5,5,3,4,5,4,5,4
34,1,2,10,5,5,5,0,5,5,5,5,4,4,5,5,5,4,3,5,5,5
35,1,1,10,4,4,5,0,5,5,4,4,5,4,5,3,5,5,5,5,5,4
36,1,1,10,5,5,5,0,5,5,5,4,5,4,5,4,3,5,5,5,5,4
37,1,2,10,5,5,5,0,5,5,5,5,5,5,5,4,5,3,5,5,5,5
38,1,2,10,5,4,4,1,5,5,5,5,4,4,5,4,4,3,4,5,5,4
39,1,2,10,4,4,5,0,4,3,4,4,4,3,5,5,3,2,5,4,5,3
40,1,1,10,4,3,3,0,5,5,4,4,5,5,4,5,5,4,5,4,5,5
41,1,2,10,5,4,4,1,4,4,4,4,4,4,5,4,4,2,5,5,4,5
42,1,1,9,5,5,5,0,5,5,5,5,5,4,5,5,3,4,5,5,5,5
43,1,2,9,5,5,5,1,5,5,4,4,4,4,4,5,3,3,2,4,5,5
44,1,1,9,5,5,5,1,5,5,5,4,5,4,5,4,4,3,4,5,4,4
45,1,2,9,5,3,5,0,5,5,5,4,4,4,4,5,4,5,4,4,5,5
46,1,1,9,3,3,5,1,5,5,5,5,5,5,5,5,3,3,5,5,5,5
47,1,1,9,3,2,5,0,4,3,3,4,3,5,4,4,2,2,5,5,4,4
48,1,2,9,5,5,5,1,5,5,5,5,5,5,5,5,5,4,4,5,5,5
49,1,2,9,2,3,4,1,4,4,4,4,5,5,5,5,5,5,5,5,5,5
50,1,2,9,2,2,5,0,5,5,5,4,5,4,5,5,5,3,5,5,5,5
51,1,1,9,2,2,5,0,5,5,5,4,5,4,5,5,5,3,5,5,5,5
52,1,1,9,2,2,4,1,5,5,4,4,5,3,4,4,5,5,4,4,5,4
53,1,1,9,5,5,5,0,5,5,5,5,5,5,5,5,5,5,4,4,5,5
54,1,2,9,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5
55,1,1,9,5,5,5,0,4,4,4,5,4,5,5,5,5,4,4,4,5,5
56,1,2,9,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,4,4,5
57,1,2,10,3,4,3,0,4,4,4,4,4,4,3,4,4,4,4,4,4,4
58,1,2,10,3,4,4,0,4,5,4,4,4,4,3,4,4,4,4,4,4,4
59,1,2,9,4,3,5,0,5,4,5,5,4,5,4,4,3,3,4,3,5,5
60,1,1,9,2,4,5,0,4,5,4,5,5,4,4,5,4,4,3,4,4,5
61,1,2,9,3,5,4,0,5,5,4,4,5,5,4,3,4,4,4,4,5,4
62,1,1,9,4,4,4,0,4,5,5,5,4,5,4,5,4,3,4,5,5,5
63,1,2,10,5,5,5,0,4,4,5,5,5,5,5,4,3,4,5,5,5,5
64,1,2,10,5,5,5,0,5,4,5,5,5,5,5,5,5,4,5,5,5,5
65,2,2,7,4,4,5,1,3,3,4,4,3,4,2,3,5,5,3,5,3,3
66,2,2,7,3,2,3,1,4,4,4,4,3,1,3,4,5,2,3,4,4,4
67,2,2,7,2,3,4,1,5,5,4,4,5,3,3,3,4,4,5,5,4,4
68,2,2,7,4,5,4,1,5,4,4,4,5,4,5,4,3,4,4,3,3,4
69,2,2,7,4,4,5,1,4,5,3,3,4,3,3,4,5,2,3,3,3,4
70,2,1,8,4,5,4,0,4,5,4,4,4,2,5,4,4,4,4,2,3,2
71,2,1,7,2,3,3,0,5,5,5,5,5,4,4,4,5,5,5,4,5,5
72,2,2,7,2,2,4,1,5,5,5,5,5,5,5,4,4,4,5,5,5,4
73,2,2,8,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
74,2,2,8,5,5,5,0,5,5,5,5,5,5,4,4,4,4,5,5,5,5
75,2,1,8,2,4,5,5,5,5,5,5,3,4,5,5,3,5,5,5,5,4
76,2,2,7,2,2,3,0,4,4,5,4,5,4,4,5,5,5,5,5,4,5
77,2,2,7,2,3,4,1,4,4,5,3,5,4,4,5,5,5,5,5,4,5
78,2,2,7,2,2,4,0,4,4,5,4,5,4,4,5,5,5,5,5,4,5
79,2,2,7,2,3,4,1,4,4,5,4,5,4,4,5,5,5,5,5,4,5
80,2,2,7,2,2,4,1,4,4,4,3,5,4,4,5,5,5,5,5,4,5
81,2,2,8,4,5,5,0,5,4,4,4,5,5,5,5,5,4,5,4,5,5
82,2,2,8,3,4,5,1,5,5,5,5,5,3,5,3,2,4,4,4,4,5
83,2,2,8,2,3,5,0,5,3,3,3,5,3,3,5,5,4,5,4,5,3
84,2,2,8,2,3,5,0,5,4,4,4,5,3,5,5,5,3,4,5,5,5
85,2,2,8,2,3,5,0,5,4,4,4,5,4,4,4,4,4,4,5,4,4
86,2,1,7,3,3,5,1,5,5,5,5,5,5,5,5,5,5,4,4,5,5
87,2,2,7,4,3,5,1,5,5,5,5,5,5,5,5,5,5,4,3,4,5
88,2,2,7,2,2,3,1,5,5,4,4,5,2,4,4,5,5,5,5,5,5
89,2,2,7,5,5,5,1,5,5,4,4,5,5,5,5,5,4,5,5,5,5
90,2,1,7,4,5,5,1,5,5,5,5,5,5,5,5,5,5,5,3,4,5
91,2,1,7,2,3,5,0,4,4,5,3,5,2,4,3,4,4,5,5,3,3
92,2,2,7,3,3,5,0,3,3,3,3,3,4,4,4,2,4,5,3,2,4
93,2,2,7,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
94,2,1,7,2,3,5,0,5,5,5,5,5,5,5,5,5,4,5,3,3,5
95,2,2,8,4,4,5,1,5,5,5,5,5,4,5,5,4,3,5,5,4,5
96,2,1,8,2,3,4,1,5,5,4,4,5,5,5,5,5,4,4,5,5,5
97,2,2,8,4,4,5,1,5,4,5,5,5,4,5,4,4,5,4,5,4,5
98,2,2,8,4,4,5,1,5,5,3,3,5,4,5,5,4,3,5,5,5,5
99,2,1,7,2,3,5,1,5,4,4,4,5,5,4,4,5,4,3,4,5,4
100,2,1,8,2,2,4,0,5,4,4,3,4,4,4,4,4,4,4,4,4,4
101,2,1,7,4,4,5,0,5,5,5,5,5,5,5,4,4,4,5,5,5,5
102,2,2,7,3,4,5,0,4,4,4,4,4,2,4,4,2,2,3,3,3,3
103,2,1,7,2,2,5,1,4,5,3,3,4,2,4,5,4,4,5,4,5,4
104,2,1,7,4,3,5,0,5,5,4,4,5,4,4,2,4,4,5,4,4,5
105,2,2,7,2,3,5,0,5,3,3,3,4,3,4,5,5,5,4,5,5,5
106,2,2,7,4,3,5,0,3,3,2,3,4,2,3,2,3,3,2,3,5,3
107,2,2,7,1,2,5,0,5,5,4,3,5,2,5,5,3,5,5,5,5,4
108,2,1,7,1,2,5,0,3,5,3,3,5,3,5,5,2,2,2,5,5,3
109,2,1,7,2,2,5,1,4,5,3,3,5,4,4,4,3,3,4,5,5,3
110,2,1,7,5,5,5,5,4,5,5,4,4,3,5,5,5,3,4,5,4,5
111,2,1,7,2,2,5,5,5,3,3,5,4,3,5,2,2,2,3,4,4,3
112,2,1,7,3,5,5,0,5,4,4,5,5,5,4,5,2,2,2,3,3,4
113,2,2,7,5,5,5,1,5,5,5,5,5,3,4,4,4,3,5,5,5,4
114,2,1,7,4,3,5,1,5,4,4,4,5,3,4,5,4,3,5,4,4,2
115,2,2,7,4,5,5,0,5,5,5,5,5,4,5,5,5,5,5,5,5,5
116,2,2,7,4,4,5,1,5,5,5,5,5,5,4,5,5,5,5,5,5,5
117,2,1,7,5,5,5,0,5,4,5,4,4,4,4,5,2,4,4,5,5,4
118,2,1,7,5,5,5,0,5,4,5,4,5,3,4,5,2,4,5,5,5,4
119,2,2,8,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5
120,2,1,7,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
121,2,1,8,4,4,5,1,5,5,5,5,4,4,4,4,3,3,4,4,5,4
122,2,1,8,4,5,5,1,5,4,5,5,4,4,4,5,3,3,4,4,4,4
123,2,1,8,5,4,5,0,5,5,5,5,5,4,5,4,3,3,4,4,5,4
124,2,1,8,5,5,5,0,5,4,5,5,4,5,5,4,5,5,4,4,4,5
125,2,1,8,5,5,5,0,4,4,4,4,5,4,5,3,5,5,5,5,5,5
126,2,1,8,3,4,5,0,4,4,5,5,4,3,4,4,4,3,4,4,4,4
127,1,1,9,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5
128,1,1,10,5,5,5,1,5,5,3,4,5,4,5,5,5,5,5,5,5,5
129,1,1,9,3,5,5,1,5,5,5,5,5,5,5,5,5,3,3,5,5,5
130,1,1,9,5,5,5,1,4,4,5,5,4,3,4,4,5,4,4,3,4,4
131,1,1,10,4,5,5,0,4,4,4,4,5,3,5,5,5,5,5,5,5,4
132,1,2,10,5,5,5,0,5,5,4,4,4,3,4,3,3,2,4,5,4,3
133,1,1,10,5,5,5,0,5,5,4,4,5,3,4,4,3,4,4,4,4,4
134,1,1,9,3,4,5,0,5,4,4,4,5,3,5,5,5,2,5,4,5,4
135,1,1,10,5,5,5,0,5,4,4,5,4,5,4,5,5,3,5,4,5,4
136,1,1,9,3,5,5,0,5,4,4,4,5,3,4,5,5,1,5,4,5,3
137,1,2,9,4,4,5,1,5,5,5,4,5,4,5,4,4,4,5,5,5,5
138,1,2,9,5,4,5,1,4,3,4,5,3,4,4,3,3,3,3,4,3,4
139,1,2,9,4,5,5,5,4,5,5,5,3,5,5,4,5,3,4,5,4,4
140,1,2,9,5,5,5,0,4,3,4,4,5,4,5,3,5,3,5,3,5,4
141,1,2,9,3,4,5,1,3,4,4,3,2,5,4,4,4,4,4,4,4,3
142,1,1,9,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,4,4,5
143,1,1,9,3,4,5,0,5,5,5,5,5,5,4,2,2,5,5,5,5,5
144,1,1,9,5,5,5,0,5,4,4,4,5,4,5,4,4,4,5,5,5,5
145,1,1,9,5,5,5,0,4,3,3,3,3,5,3,2,2,1,1,5,5,3
146,1,2,0,2,2,3,0,5,5,5,5,5,5,3,4,4,4,5,5,5,5
147,1,2,10,4,4,5,5,5,5,5,4,4,5,5,5,5,3,4,4,5,5
148,1,1,10,4,4,5,1,5,5,4,4,5,4,4,5,4,4,4,5,5,5
149,1,1,10,4,4,5,0,4,4,4,4,4,5,5,5,3,4,5,4,5,4
150,1,2,10,5,5,5,0,5,5,5,5,4,4,5,5,5,4,3,5,5,5
151,1,1,10,4,4,5,0,5,5,4,4,5,4,5,3,5,5,5,5,5,4
152,1,1,10,5,5,5,0,5,5,5,4,5,4,5,4,3,5,5,5,5,4
153,1,2,10,5,5,5,0,5,5,5,5,5,5,5,4,5,3,5,5,5,5
154,1,2,10,5,4,4,1,5,5,5,5,4,4,5,4,4,3,4,5,5,4
155,1,2,10,4,4,5,0,4,3,4,4,4,3,5,5,3,2,5,4,5,3
156,1,1,10,4,3,3,0,5,5,4,4,5,5,4,5,5,4,5,4,5,5
157,1,2,10,5,4,4,1,4,4,4,4,4,4,5,4,4,2,5,5,4,5
158,1,1,9,5,5,5,0,5,5,5,5,5,4,5,5,3,4,5,5,5,5
159,1,1,9,3,2,5,0,4,3,3,4,3,5,4,4,2,2,5,5,4,4
160,1,2,9,5,5,5,1,5,5,5,5,5,5,5,5,5,4,4,5,5,5
161,1,2,9,2,3,4,1,4,4,4,4,5,5,5,5,5,5,5,5,5,5
162,1,2,9,2,2,5,0,5,5,5,4,5,4,5,5,5,3,5,5,5,5
163,1,1,9,2,2,4,1,5,5,4,4,5,3,4,4,5,5,4,4,5,4
164,1,2,10,3,4,4,0,4,5,4,4,4,4,3,4,4,4,4,4,4,4
165,1,2,9,4,3,5,0,5,4,5,5,4,5,4,4,3,3,4,3,5,5
166,1,1,9,2,4,5,0,4,5,4,5,5,4,4,5,4,4,3,4,4,5
167,1,2,9,3,5,4,0,5,5,4,4,5,5,4,3,4,4,4,4,5,4
168,1,1,9,4,4,4,0,4,5,5,5,4,5,4,5,4,3,4,5,5,5
169,1,2,10,5,5,5,0,4,4,5,5,5,5,5,4,3,4,5,5,5,5
170,1,2,10,5,5,5,0,5,4,5,5,5,5,5,5,5,4,5,5,5,5
171,2,2,7,3,2,3,1,4,4,4,4,3,1,3,4,5,2,3,4,4,4
172,2,2,7,4,4,5,1,4,5,3,3,4,3,3,4,5,2,3,3,3,4
173,2,1,8,4,5,4,0,4,5,4,4,4,2,5,4,4,4,4,2,3,2
174,2,2,7,2,2,4,1,5,5,5,5,5,5,5,4,4,4,5,5,5,4
175,2,2,8,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
176,2,1,8,2,4,5,5,5,5,5,5,3,4,5,5,3,5,5,5,5,4
177,2,2,7,2,3,4,1,4,4,5,4,5,4,4,5,5,5,5,5,4,5
178,2,2,7,2,2,4,1,4,4,4,3,5,4,4,5,5,5,5,5,4,5
179,2,2,8,3,4,5,1,5,5,5,5,5,3,5,3,2,4,4,4,4,5
180,2,2,8,2,3,5,0,5,3,3,3,5,3,3,5,5,4,5,4,5,3
181,2,2,8,2,3,5,0,5,4,4,4,5,4,4,4,4,4,4,5,4,4
182,2,2,7,5,5,5,1,5,5,4,4,5,5,5,5,5,4,5,5,5,5
183,2,1,7,4,5,5,1,5,5,5,5,5,5,5,5,5,5,5,3,4,5
184,2,1,7,2,3,5,0,4,4,5,3,5,2,4,3,4,4,5,5,3,3
185,2,2,7,3,3,5,0,3,3,3,3,3,4,4,4,2,4,5,3,2,4
186,2,2,7,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
187,2,2,8,4,4,5,1,5,5,5,5,5,4,5,5,4,3,5,5,4,5
188,2,1,8,2,3,4,1,5,5,4,4,5,5,5,5,5,4,4,5,5,5
189,2,2,8,4,4,5,1,5,5,3,3,5,4,5,5,4,3,5,5,5,5
190,2,1,8,2,2,4,0,5,4,4,3,4,4,4,4,4,4,4,4,4,4
191,2,1,7,4,4,5,0,5,5,5,5,5,5,5,4,4,4,5,5,5,5
192,2,2,7,3,4,5,0,4,4,4,4,4,2,4,4,2,2,3,3,3,3
193,2,1,7,2,2,5,1,4,5,3,3,4,2,4,5,4,4,5,4,5,4
194,2,1,7,4,3,5,0,5,5,4,4,5,4,4,2,4,4,5,4,4,5
195,2,2,7,2,3,5,0,5,3,3,3,4,3,4,5,5,5,4,5,5,5
196,2,2,7,1,2,5,0,5,5,4,3,5,2,5,5,3,5,5,5,5,4
197,2,1,7,1,2,5,0,3,5,3,3,5,3,5,5,2,2,2,5,5,3
198,2,1,7,2,2,5,1,4,5,3,3,5,4,4,4,3,3,4,5,5,3
199,2,1,7,4,3,5,1,5,4,4,4,5,3,4,5,4,3,5,4,4,2
200,2,2,7,4,5,5,0,5,5,5,5,5,4,5,5,5,5,5,5,5,5
201,2,2,7,4,4,5,1,5,5,5,5,5,5,4,5,5,5,5,5,5,5
202,2,1,7,5,5,5,0,5,4,5,4,5,3,4,5,2,4,5,5,5,4
203,2,1,7,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
204,2,1,8,4,4,5,1,5,5,5,5,4,4,4,4,3,3,4,4,5,4
205,2,1,8,4,5,5,1,5,4,5,5,4,4,4,5,3,3,4,4,4,4
206,2,1,8,5,4,5,0,5,5,5,5,5,4,5,4,3,3,4,4,5,4
207,2,1,8,5,5,5,0,5,4,5,5,4,5,5,4,5,5,4,4,4,5
208,2,1,8,3,4,5,0,4,4,5,5,4,3,4,4,4,3,4,4,4,4
